img_name,feature_i1,feature_i2,feature_i3,feature_i4,feature_i5
i1\PAT_104_1754_276,151465.12,None,None,None,None
i1\PAT_150_1799_644,124086.3,None,None,None,None
i1\PAT_154_235_30,76056.26,None,None,None,None
i1\PAT_164_255_119,46698.87,None,None,None,None
i1\PAT_173_268_1000,33806.688,None,None,None,None
i1\PAT_192_296_824,81395.13,None,None,None,None
i1\PAT_207_313_1,81175.44,None,None,None,None
i1\PAT_2092_4537_438,37719.44,None,None,None,None
i1\PAT_217_1290_283,90767.83,None,None,None,None
i1\PAT_237_362_52,69036.414,None,None,None,None
i1\PAT_245_376_24,128247.17,None,None,None,None
i1\PAT_252_383_31,46540.152,None,None,None,None
i1\PAT_260_1289_396,146076.06,None,None,None,None
i1\PAT_265_407_421,3716.812,None,None,None,None
i1\PAT_268_413_643,308212.25,None,None,None,None
i1\PAT_269_415_103,65658.555,None,None,None,None
i1\PAT_270_1387_430,256745.78,None,None,None,None
i1\PAT_270_417_257,102239.82,None,None,None,None
i1\PAT_27_38_240,135685.67,None,None,None,None
i1\PAT_309_663_812,52613.145,None,None,None,None
i1\PAT_313_669_908,60195.926,None,None,None,None
i1\PAT_325_689_528,50726.598,None,None,None,None
i1\PAT_40_56_160,49489.426,None,None,None,None
i1\PAT_75_113_165,47454.473,None,None,None,None
i1\PAT_83_126_820,26358.139,None,None,None,None
i1\PAT_96_150_743,96850.64,None,None,None,None
i2\PAT_2105_4587_204,None,35575.81,None,None,None
i2\PAT_622_1185_922,None,8212.177,None,None,None
i2\PAT_651_1232_950,None,12908.761,None,None,None
i2\PAT_657_1247_455,None,117922.195,None,None,None
i2\PAT_658_1266_149,None,25979.227,None,None,None
i2\PAT_674_1277_9,None,8552.949,None,None,None
i2\PAT_677_1350_67,None,88353.93,None,None,None
i2\PAT_690_1309_154,None,382854.4,None,None,None
i2\PAT_742_1402_818,None,116121.36,None,None,None
i2\PAT_745_1406_409,None,17672.285,None,None,None
i2\PAT_753_1833_710,None,1376.4432,None,None,None
i2\PAT_756_1496_480,None,2373.5137,None,None,None
i2\PAT_786_1480_914,None,1793.9021,None,None,None
i2\PAT_788_1503_541,None,125552.66,None,None,None
i2\PAT_797_1511_805,None,128054.67,None,None,None
i2\PAT_801_1518_574,None,101395.62,None,None,None
i2\PAT_810_1526_639,None,737693.8,None,None,None
i2\PAT_810_1526_67,None,881943.56,None,None,None
i2\PAT_817_1537_943,None,88097.64,None,None,None
i2\PAT_818_1539_859,None,4796.1055,None,None,None
i2\PAT_823_1558_67,None,183039.2,None,None,None
i2\PAT_846_4421_153,None,13652.004,None,None,None
i2\PAT_852_1629_265,None,12222.965,None,None,None
i2\PAT_881_1681_462,None,33653.11,None,None,None
i2\PAT_890_1694_29,None,45970.023,None,None,None
i2\PAT_901_1716_497,None,30038.77,None,None,None
i3\PAT_330_1440_532,None,None,59752.24,None,None
i3\PAT_342_716_316,None,None,106392.34,None,None
i3\PAT_343_717_927,None,None,113342.57,None,None
i3\PAT_354_1814_153,None,None,68027.3,None,None
i3\PAT_373_2598_514,None,None,142516.58,None,None
i3\PAT_379_4405_969,None,None,254973.4,None,None
i3\PAT_380_773_362,None,None,1258238.6,None,None
i3\PAT_386_1554_455,None,None,332786.44,None,None
i3\PAT_406_808_975,None,None,58707.273,None,None
i3\PAT_419_2767_323,None,None,105779.25,None,None
i3\PAT_457_890_255,None,None,153275.08,None,None
i3\PAT_464_900_548,None,None,75034.35,None,None
i3\PAT_467_904_535,None,None,88066.16,None,None
i3\PAT_490_933_17,None,None,5567.0586,None,None
i3\PAT_492_937_126,None,None,324296.53,None,None
i3\PAT_505_951_710,None,None,12294.404,None,None
i3\PAT_506_957_377,None,None,443575.44,None,None
i3\PAT_534_1009_924,None,None,80611.41,None,None
i3\PAT_564_1079_430,None,None,174296.03,None,None
i3\PAT_579_1099_837,None,None,108730.37,None,None
i3\PAT_579_1100_988,None,None,108668.164,None,None
i3\PAT_593_1127_823,None,None,400410.34,None,None
i3\PAT_605_1152_536,None,None,91367.44,None,None
i3\PAT_610_1156_461,None,None,223297.06,None,None
i3\PAT_613_1164_827,None,None,109646.1,None,None
i4\PAT_1374_1285_735,None,None,None,10168.29,None
i4\PAT_1377_3512_370,None,None,None,9430.977,None
i4\PAT_1405_1395_96,None,None,None,9379.3955,None
i4\PAT_1408_1404_929,None,None,None,11683.816,None
i4\PAT_1505_1733_128,None,None,None,21587.44,None
i4\PAT_1555_2396_71,None,None,None,122894.08,None
i4\PAT_1557_2399_681,None,None,None,170611.62,None
i4\PAT_1570_2472_418,None,None,None,4840.7847,None
i4\PAT_1573_2497_736,None,None,None,6690.5254,None
i4\PAT_1600_2685_164,None,None,None,19504.72,None
i4\PAT_1605_2715_845,None,None,None,2828.7922,None
i4\PAT_1636_2869_595,None,None,None,85547.305,None
i4\PAT_1650_2913_374,None,None,None,42561.77,None
i4\PAT_1708_3155_581,None,None,None,91030.94,None
i4\PAT_1772_3346_66,None,None,None,43649.035,None
i4\PAT_1780_3381_999,None,None,None,22874.69,None
i4\PAT_1801_3459_857,None,None,None,145064.08,None
i4\PAT_1807_3481_801,None,None,None,15539.946,None
i4\PAT_1819_3569_217,None,None,None,21733.309,None
i4\PAT_1837_3608_851,None,None,None,220312.92,None
i4\PAT_1988_4052_897,None,None,None,57398.168,None
i4\PAT_2030_4246_973,None,None,None,479912.5,None
i4\PAT_2036_4280_90,None,None,None,116793.516,None
i4\PAT_2049_4348_485,None,None,None,79310.586,None
i4\PAT_2090_4532_178,None,None,None,85091.33,None
i5\PAT_1006_53_385,None,None,None,None,2568.898
i5\PAT_1034_161_203,None,None,None,None,14579.654
i5\PAT_1061_254_813,None,None,None,None,30045.662
i5\PAT_1066_281_698,None,None,None,None,10014.407
i5\PAT_1088_373_781,None,None,None,None,3212.4941
i5\PAT_1186_680_578,None,None,None,None,17998.518
i5\PAT_1221_766_430,None,None,None,None,187235.23
i5\PAT_1246_846_899,None,None,None,None,75923.37
i5\PAT_1288_1003_969,None,None,None,None,253693.52
i5\PAT_1307_1088_252,None,None,None,None,7998.1685
i5\PAT_1308_1095_117,None,None,None,None,10621.382
i5\PAT_1350_1230_925,None,None,None,None,14006.294
i5\PAT_1364_1246_143,None,None,None,None,5815.2236
i5\PAT_1367_1264_801,None,None,None,None,173389.55
i5\PAT_1370_1273_41,None,None,None,None,945854.9
i5\PAT_2150_4766_754,None,None,None,None,5335.898
i5\PAT_914_1740_932,None,None,None,None,5299.671
i5\PAT_918_1742_456,None,None,None,None,110863.57
i5\PAT_928_1764_426,None,None,None,None,33722.01
i5\PAT_950_1804_334,None,None,None,None,30719.586
i5\PAT_953_1806_845,None,None,None,None,7321.2627
i5\PAT_960_1816_662,None,None,None,None,20505.469
i5\PAT_968_1835_721,None,None,None,None,14109.415
i5\PAT_970_1833_270,None,None,None,None,10576.059
i5\PAT_993_1865_559,None,None,None,None,4551.667
i5\PAT_996_6_622,None,None,None,None,10480.184
